"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46"
0 0 0 4 3 13 29 38 82 111 204 341 465 708 1180 1784 2643 4106 6146 9067 13122 18675 25415 33536 43141 53801 64856 76443 86261 95657 103638 110198 114410 116344 117313 116383 113791 111788 107440 102971 98820 94648 90387 86182 82283 78216
0 0 1 6 9 18 30 47 63 148 204 333 491 750 1167 1816 2713 4139 6286 9009 13074 18351 25148 33705 43532 53947 64981 75967 86867 96176 103691 109690 114071 116017 116902 115760 114319 111080 107249 103871 98964 94255 90442 85873 82251 78321
0 0 1 2 11 18 38 40 75 130 185 335 438 751 1177 1755 2711 4142 6283 9085 12934 18512 25318 33864 43137 54035 65264 76288 86059 96389 103558 109485 113726 116543 117139 115672 113739 110940 107172 103105 98576 94239 89776 85768 81989 77917
0 0 1 0 8 21 31 41 62 122 165 291 467 710 1146 1805 2711 4216 6091 9069 13187 18454 25176 33835 43099 54251 64981 76089 86467 95694 103655 110370 113721 116300 117398 115810 114138 110746 107525 103524 98906 94553 90748 85859 82329 78273
0 0 1 2 7 20 22 45 96 152 223 311 498 777 1146 1796 2790 4071 6311 8933 13035 18754 25235 33462 43031 53797 65376 76058 87100 96044 103971 109687 114229 116172 116161 116305 114063 110871 107815 103727 98897 94699 90359 86335 82746 78467
0 0 1 3 13 18 33 52 70 120 209 307 474 747 1140 1827 2781 4115 6065 9055 13042 18519 25343 33504 43112 53505 64395 76060 86771 96186 103534 109739 114002 116111 116772 115568 113979 111487 108193 103675 98725 95212 90519 86046 81353 78375
0 0 2 0 9 11 26 43 75 132 220 291 469 720 1205 1749 2772 4296 6248 9139 13001 18559 25120 33845 43209 53656 65246 75918 86372 96003 103490 109726 114040 116436 116845 115540 114421 111025 107080 103473 97840 95082 89796 85773 81727 78344
0 0 1 3 7 16 36 50 73 121 207 337 480 759 1166 1854 2762 4176 6249 9154 13387 18416 25394 33395 42957 53594 64654 76354 86387 95424 103791 110074 114276 116456 116778 116172 114371 110543 107415 104395 98724 94537 89926 86260 81337 78005
0 0 0 1 10 13 23 50 72 107 195 342 478 752 1169 1843 2822 4218 6151 9164 13254 18337 25556 33753 43229 53837 65295 75998 86524 95838 103996 109724 114117 116510 116676 116423 114095 111570 107799 103698 99487 94582 89942 85643 81992 78365
0 0 3 5 9 17 23 50 96 97 202 317 482 748 1199 1814 2718 4136 6196 9107 13107 18512 25389 33535 43085 54254 65196 76143 86571 96203 103972 109871 113913 116289 117058 116313 114376 111172 107368 103311 98723 94520 90328 85983 82549 78055
0 0 2 4 11 15 26 46 91 121 193 328 465 760 1174 1801 2700 4154 6234 8889 13246 18491 25163 33372 43436 53951 64975 76086 86622 95517 103428 109769 114230 116118 116666 115611 113668 110803 107183 103275 99103 94983 90524 86666 82016 78200
0 0 0 1 6 14 26 43 87 140 194 318 511 773 1161 1776 2779 3993 6176 8907 12638 18488 25472 33336 43224 53258 65016 76113 86731 96159 103673 110302 113779 116790 116305 116514 114070 111314 107160 103533 98429 94014 90447 86468 82251 78261
0 0 3 4 2 22 29 38 77 127 208 320 478 713 1181 1746 2757 4076 6163 9139 13192 18266 25440 33624 43179 54157 64926 76035 87113 95970 104111 109334 113764 115933 116858 116596 114047 110957 107600 103141 99344 94212 90329 85838 81466 77881
0 0 1 2 9 16 21 47 66 145 196 290 483 747 1122 1835 2743 4084 6194 8962 13025 18428 25423 33549 43064 53938 65026 76024 86416 96082 103983 109698 114451 116438 117236 115880 114693 111452 107063 103218 98989 94560 90263 85810 82237 78429
